name,appID,playTime,playTime2,logoURL,disabled,
BeamNG.drive,284160,11,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/284160/a4889acd10945f84e62724d0311105cf3eec7aec.jpg,false,
Beware Planet Earth,267340,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/267340/8eba0d0619522d9c8f33731217d433b4b04d0005.jpg,false,
Binary Domain,203750,58,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/203750/101cf86ad6b8d8ce6328c373d23b0b09318b5a1f.jpg,false,
Bionic Commando,21670,24,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/21670/e6e7dd4fd7630a1650e31a960140f27272f28950.jpg,false,
Bionic Commando Rearmed,21680,69,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/21680/e4cd5c221f95bcb58518543ab17839bf30ca6a09.jpg,false,
BioShock,7670,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/7670/4c2a7f97e6556a95319eb346aed7beff9fe0535c.jpg,false,
BioShock 2,8850,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/8850/fde6fa1b15e4eb409c9d592197024571fded77e7.jpg,false,
BioShock 2 Remastered,409720,49,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/409720/34c3f591cf4cb28711d7f33f73dee0f09cdb94a4.jpg,false,
BioShock Infinite,8870,35,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/8870/870bb889e192cf8d31876ed04d329a5d51c6fc2c.jpg,false,
BioShock Remastered,409710,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/409710/cb7318b68128f6aa90c9e4e2d14544281ac22da0.jpg,false,
bit Dungeon II,331440,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/331440/8db3bbb4b99cd0f8ae7d4e5f1f36c1f4096dc2f4.jpg,false,
BIT.TRIP RUNNER,63710,133,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/63710/13cdddc55559cd4f47fbe970c9ad0de6bebb2f21.jpg,false,
Blades of Time,208670,25,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/208670/1d3d3d42f41e9a0c6aa7c43970a4b4b30f2dcc11.jpg,false,
BlazeRush,302710,29,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/302710/30d7b32f245338c3326f99c9788b39ba36a9e4e3.jpg,false,
